,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1950-02-01,98273.1,97778.7,96790.0,94812.9,90859.7,4853.779980592446,6417.210055779691,9543.75397838817,15795.893140307073,28297.00918648471
1950-03-01,95050.4,93564.5,90596.7,84673.3,72794.3,7393.920478639491,9776.440197967991,14544.8535002744,24074.088791109465,43195.718476230686
1950-04-01,87409.2,84951.7,79990.4,70128.9,51764.1,12280.346229284873,14455.641844007558,19146.931156483304,29038.751953017698,47735.014380198714
1950-05-01,84270.6,81338.1,75434.4,63496.5,43057.0,15700.16869123811,17859.334076486604,22419.790222033746,32071.961996076538,48485.434284718714
1950-06-01,84094.1,81168.0,75264.7,63389.2,42801.8,15716.534785236712,17879.819058244284,22439.295448684064,32051.704970424133,48554.19518389276
1950-07-01,83919.9,81033.0,75215.9,63380.5,42720.4,15733.31290570708,17876.36617312242,22361.908929894355,31937.939522524688,48464.30811363485
1950-08-01,83743.9,80881.1,75121.7,63364.0,42727.5,15751.68821604705,17886.56735871301,22326.963539630728,31796.162231732727,48292.472160667945
1950-09-01,83789.5,81039.5,75378.6,63783.3,42885.3,15575.834953542617,17584.56256208837,22006.367448233403,31336.295987773243,47996.452246320594
1950-10-01,83615.2,80930.9,75382.5,63626.5,42862.2,15595.629372074445,17625.125824294762,21965.85745221686,31385.648858638844,47890.48929194838
1950-11-01,83746.2,81362.1,76248.5,64670.1,43771.4,15175.417320273089,16812.894333748067,20596.855516477917,29988.265651195412,46902.186857804874
1950-12-01,79921.8,77539.6,72628.4,61240.1,40515.4,15765.610928713024,16803.140435314137,19440.076887136474,27323.04540716906,42983.673743514395
1951-01-01,79073.2,76397.8,70744.9,57418.3,35031.3,16983.973234918987,18462.102130219806,21875.849745781306,30229.7410987921,43631.02908366934
1951-02-01,78985.3,76456.9,71072.6,57719.1,35232.9,16931.58040172269,18379.06941453904,21637.649575579035,30027.973814983477,43409.88197647064
1951-03-01,79028.2,76733.1,71629.3,58307.1,35721.3,16757.50882970908,18080.087545572216,21279.412283289737,29677.75145514453,43106.84161488883
1951-04-01,78896.2,76536.4,71515.8,58211.7,35814.6,16801.25360269948,18122.490858966747,21398.925491196464,29774.825750213142,43064.787485317465
1951-05-01,74603.0,71983.0,65986.9,50651.2,26919.7,17141.194642666473,18414.22339147408,21624.521674607175,28733.377048690643,38069.043691254796
1951-06-01,74520.5,71866.2,66166.5,50794.3,26940.5,17187.954524091056,18421.67037787592,21691.320743816203,28724.694610309707,38106.90623685482
1951-07-01,74468.3,72038.9,66528.3,51308.8,27187.4,17102.31237159337,18437.18392843959,21880.09201712319,28897.760304601845,38210.75289089301
1951-08-01,74478.2,72138.3,66567.8,51316.7,27159.2,17102.527492222376,18456.358374705327,22038.894476205773,29189.77424087643,38353.19557249724
1951-09-01,74451.2,72189.0,66848.2,51391.5,27438.7,17062.01820027943,18486.67012261057,22059.97462877558,29279.248545495302,38392.20725630543
1951-10-01,74356.7,72428.9,66974.5,51550.4,27611.6,17072.65732131677,18441.459784650695,22309.433571423946,29446.816874569726,38509.555172710054
1951-11-01,74329.9,72266.3,67068.1,51423.3,27619.3,17039.730778063626,18542.260356337956,22425.74149127144,29687.68475329646,38718.36744162187
1951-12-01,74338.9,72695.6,67282.5,51842.5,27908.3,17052.78416140765,18484.71179831232,22663.539873795336,29826.928054472297,38878.081877268014
1952-01-01,74156.6,72478.4,67066.5,51570.1,27691.4,17098.305381918217,18535.001718670304,22725.670180803616,29969.042054352612,39038.088680444154
1952-02-01,74208.0,72710.9,67392.5,51861.2,27979.4,17053.696953381626,18673.837060027177,23195.94496290725,30321.733129152686,39282.92338691486
