date,min,median,max
1950-02-01,254443,287633.5,289554
1950-03-01,358,286032.0,289029
1950-04-01,-685,284713.5,288504
1950-05-01,765,282150.5,287979
1950-06-01,-229,281064.5,287454
1950-07-01,-859,35357.5,286929
1950-08-01,-383,34831.5,286404
1950-09-01,-284,35910.0,285879
1950-10-01,-534,8971.5,285279
1950-11-01,-1892,8300.0,284754
1950-12-01,524,5375.0,284229
1951-01-01,-85,5134.0,283704
1951-02-01,-559,7027.5,284386
1951-03-01,-425,7711.0,314261
1951-04-01,105,7971.5,294545
1951-05-01,-320,7397.0,309278
1951-06-01,-233,8107.5,305107
1951-07-01,-237,6638.5,313920
1951-08-01,136,8601.0,335236
1951-09-01,119,21543.0,342975
1951-10-01,-215,8691.0,373324
1951-11-01,-86,33278.5,372131
1951-12-01,-759,41108.5,439106
1952-01-01,-496,38803.5,468823
1952-02-01,-96,249118.5,443649
1952-03-01,24,271917.0,472764
1952-04-01,1113,273101.5,541473
1952-05-01,12,278730.5,570843
1952-06-01,19,272051.5,520948
1952-07-01,-414,291858.5,537775
1952-08-01,-194,312245.0,556783
1952-09-01,-87,317644.0,590495
1952-10-01,20,333677.0,618822
1952-11-01,-1288,363049.5,647248
1952-12-01,-546,332220.0,680459
1953-01-01,72,369428.5,708879
1953-02-01,-547,366707.5,772395
1953-03-01,3749,370574.5,784059
1953-04-01,659,395808.0,861814
1953-05-01,1106,415702.5,945664
1953-06-01,1611,464719.0,981336
1953-07-01,-640,511355.5,1064356
1953-08-01,115,549998.0,1141248
1953-09-01,2451,539466.0,1221152
1953-10-01,224,588231.0,1259689
1953-11-01,-525,607759.5,1340351
1953-12-01,3857,610982.5,1378840
1954-01-01,1740,656450.0,1500270
1954-02-01,1460,671215.5,1535871
1954-03-01,330,688824.0,1619583
1954-04-01,5821,692292.5,1657554
1954-05-01,3504,710554.0,1692320
1954-06-01,1921,719501.0,1812430
1954-07-01,1662,703051.0,1829954
1954-08-01,5113,747228.5,1687049
1954-09-01,2959,782177.5,1751108
1954-10-01,1947,774824.5,1790241
1954-11-01,1030,812325.5,1854360
1954-12-01,6371,840671.5,1885047
1955-01-01,-1574,836006.5,1742833
1955-02-01,495,883282.5,1788177
1955-03-01,9631,945801.0,1879835
1955-04-01,4600,1001630.5,2017727
1955-05-01,3754,1069358.5,2083158
1955-06-01,39174,1091007.5,2185749
1955-07-01,286580,1075501.0,2294806
1955-08-01,254526,1102440.5,2446478
1955-09-01,319867,1222210.5,2572132
1955-10-01,318588,1224589.0,2637432
1955-11-01,1696,1226110.5,2768504
1955-12-01,166,1324047.5,2915478
1956-01-01,8577,1359551.5,3003782
1956-02-01,2950,1378561.0,3081358
1956-03-01,1514,1442701.5,3240471
1956-04-01,288630,1538183.0,3314284
1956-05-01,276908,1606016.5,3512901
1956-06-01,275018,1659290.5,3590708
1956-07-01,341846,1692458.0,3708860
1956-08-01,339957,1772306.0,3785389
1956-09-01,373884,1712144.5,3985801
1956-10-01,405096,1771173.5,4063401
1956-11-01,403207,1807578.5,4221962
1956-12-01,470114,1853172.5,4300001
1957-01-01,295329,1915298.0,4385406
1957-02-01,264610,1981952.0,4533022
1957-03-01,31041,2093572.0,4610498
1957-04-01,8751,2134199.5,4769842
1957-05-01,6522,2121239.5,4847679
1957-06-01,2216,2197521.5,5018402
1957-07-01,7980,2236452.5,5070479
1957-08-01,7285,2322540.0,5240930
1957-09-01,3144,2385166.5,5347227
1957-10-01,301908,2491276.0,5470768
1957-11-01,324818,2586260.5,5514083
1957-12-01,401426,2710625.0,5663823
1958-01-01,398957,2821251.0,5833656
1958-02-01,455518,2879272.0,5940275
1958-03-01,453433,2941187.5,5976013
1958-04-01,502255,2946167.5,6217615
1958-05-01,500059,2978373.5,6252746
1958-06-01,614067,3041722.5,6383582
1958-07-01,611871,3106131.0,6536038
1958-08-01,660274,3215256.0,6618930
1958-09-01,686443,3339854.5,6770572
1958-10-01,734880,3416884.0,6895934
1958-11-01,796978,3427127.0,6929799
1958-12-01,709779,3462137.0,6944169
1959-01-01,708373,3590721.0,6948724
1959-02-01,742403,3653263.5,6969280
1959-03-01,916623,3732034.0,6999942
1959-04-01,979259,3844362.5,7237281
1959-05-01,997009,3983972.5,7307548
1959-06-01,959311,4087998.0,7386863
1959-07-01,683310,4221168.0,7586234
1959-08-01,673277,4345523.0,7724057
1959-09-01,658228,4326343.5,7837408
1959-10-01,694859,4359485.0,7954666
1959-11-01,724850,4479398.5,8186842
1959-12-01,737694,4560304.0,8253144
1960-01-01,769557,4675868.0,8422290
1960-02-01,767262,4806507.0,8589584
1960-03-01,843847,4823359.0,8716512
1960-04-01,841552,4892090.5,8822004
1960-05-01,925525,5046383.5,9054762
1960-06-01,987516,5163873.0,9088593
1960-07-01,985294,5253400.0,9199169
1960-08-01,1032358,5425150.5,9424582
1960-09-01,1093585,5508855.5,9575985
1960-10-01,1141563,5519678.5,9700765
1960-11-01,1175289,5682700.0,9844520
1960-12-01,1086099,5820585.0,9955843
1961-01-01,1085129,5918504.0,10076677
1961-02-01,1145693,6109439.0,10292314
1961-03-01,1184261,6154064.5,10371406
1961-04-01,1252318,6279167.5,10525625
1961-05-01,1276878,6439681.0,10708552
1961-06-01,1314641,6556245.5,10745686
1961-07-01,1382551,6610205.0,10944010
1961-08-01,1447291,6800479.0,11082638
1961-09-01,1481557,6919126.5,11282988
1961-10-01,1553258,7039552.5,11352941
1961-11-01,1577844,7088935.0,11534918
1961-12-01,1652412,7097593.0,11747867
1962-01-01,1683472,7311015.5,12040399
1962-02-01,1748227,7385869.0,12106893
1962-03-01,1712478,7519936.5,12375805
1962-04-01,1738919,7669051.5,12415792
1962-05-01,1736778,7788072.0,12526648
1962-06-01,1769635,7890618.5,12714107
1962-07-01,1778183,7998931.0,12914176
1962-08-01,1815319,8104952.5,12769833
1962-09-01,1864717,8237690.0,12915879
1962-10-01,1925271,8344398.5,13111881
1962-11-01,1975142,8420521.0,13323333
1962-12-01,2001674,8546924.5,13572209
1963-01-01,2122646,8630713.0,13922057
1963-02-01,2097174,8722660.0,14093120
1963-03-01,2147264,8756220.5,14280026
1963-04-01,2231680,8818027.0,14551216
1963-05-01,2229478,9006854.0,14787632
1963-06-01,2344304,9099332.0,14958855
1963-07-01,2376815,9247726.0,15313815
1963-08-01,2455483,9362982.5,15429017
1963-09-01,2453208,9501904.5,15705820
