max_buses,seed,date,money
1,10,1950-02-01,99808
1,10,1950-03-01,99616
1,10,1950-04-01,99425
1,10,1950-05-01,99233
1,10,1950-06-01,99041
1,10,1950-07-01,98850
1,10,1950-08-01,98658
1,10,1950-09-01,98466
1,10,1950-10-01,98275
1,10,1950-11-01,98083
1,10,1950-12-01,97891
1,10,1951-01-01,97700
1,10,1951-02-01,97508
1,10,1951-03-01,97316
1,10,1951-04-01,97125
1,10,1951-05-01,56787
1,10,1951-06-01,29856
1,10,1951-07-01,29630
1,10,1951-08-01,29402
1,10,1951-09-01,29174
1,10,1951-10-01,28948
1,10,1951-11-01,28719
1,10,1951-12-01,28492
1,10,1952-01-01,28265
1,10,1952-02-01,28037
1,10,1952-03-01,27811
1,10,1952-04-01,28861
1,10,1952-05-01,28634
1,10,1952-06-01,28406
1,10,1952-07-01,28180
1,10,1952-08-01,29540
1,10,1952-09-01,29312
1,10,1952-10-01,29086
1,10,1952-11-01,29431
1,10,1952-12-01,29204
1,10,1953-01-01,28977
1,10,1953-02-01,28748
1,10,1953-03-01,30074
1,10,1953-04-01,29847
1,10,1953-05-01,29620
1,10,1953-06-01,29391
1,10,1953-07-01,29165
1,10,1953-08-01,28937
1,10,1953-09-01,28709
1,10,1953-10-01,30033
1,10,1953-11-01,29805
1,10,1953-12-01,29578
1,10,1954-01-01,29350
1,10,1954-02-01,29122
1,10,1954-03-01,28897
1,10,1954-04-01,28670
1,10,1954-05-01,29982
1,10,1954-06-01,29754
1,10,1954-07-01,29528
1,10,1954-08-01,29351
1,10,1954-09-01,29123
1,10,1954-10-01,28897
1,10,1954-11-01,28668
1,10,1954-12-01,28841
1,10,1955-01-01,28614
1,10,1955-02-01,28386
1,10,1955-03-01,28213
1,10,1955-04-01,27986
1,10,1955-05-01,27759
1,10,1955-06-01,27531
1,10,1955-07-01,27655
1,10,1955-08-01,27426
1,10,1955-09-01,27198
1,10,1955-10-01,27024
1,10,1955-11-01,26796
1,10,1955-12-01,26569
1,10,1956-01-01,26342
1,10,1956-02-01,26214
1,10,1956-03-01,25988
1,10,1956-04-01,25760
1,10,1956-05-01,25533
1,10,1956-06-01,25305
1,10,1956-07-01,25079
1,10,1956-08-01,25559
1,10,1956-09-01,25331
1,10,1956-10-01,25105
1,10,1956-11-01,24877
1,10,1956-12-01,24649
1,10,1957-01-01,24422
1,10,1957-02-01,24194
1,10,1957-03-01,24169
1,10,1957-04-01,23942
1,10,1957-05-01,23715
1,10,1957-06-01,23487
1,10,1957-07-01,23261
1,10,1957-08-01,23033
1,10,1957-09-01,22804
1,10,1957-10-01,22678
1,10,1957-11-01,22450
1,10,1957-12-01,22223
1,10,1958-01-01,21996
1,10,1958-02-01,21768
1,10,1958-03-01,21543
1,10,1958-04-01,21316
1,10,1958-05-01,21291
1,10,1958-06-01,21063
1,10,1958-07-01,20837
1,10,1958-08-01,20608
1,10,1958-09-01,20380
1,10,1958-10-01,20154
1,10,1958-11-01,19926
1,10,1958-12-01,19749
1,10,1959-01-01,19522
1,10,1959-02-01,19293
1,10,1959-03-01,19069
1,10,1959-04-01,18842
1,10,1959-05-01,18614
1,10,1959-06-01,18386
1,10,1959-07-01,18210
1,10,1959-08-01,17982
1,10,1959-09-01,17754
1,10,1959-10-01,17528
1,10,1959-11-01,17300
1,10,1959-12-01,17073
1,10,1960-01-01,16845
1,10,1960-02-01,16617
1,10,1960-03-01,16391
1,10,1960-04-01,16164
1,10,1960-05-01,15989
1,10,1960-06-01,15761
1,10,1960-07-01,15535
1,10,1960-08-01,15307
1,10,1960-09-01,15078
1,10,1960-10-01,14852
1,10,1960-11-01,14624
1,10,1960-12-01,14397
1,10,1961-01-01,14170
1,10,1961-02-01,13942
1,10,1961-03-01,13767
1,10,1961-04-01,13540
1,10,1961-05-01,13313
1,10,1961-06-01,13085
1,10,1961-07-01,12962
1,10,1961-08-01,12734
1,10,1961-09-01,12506
1,10,1961-10-01,12280
1,10,1961-11-01,12052
1,10,1961-12-01,11825
1,10,1962-01-01,11598
1,10,1962-02-01,11369
1,10,1962-03-01,11145
1,10,1962-04-01,10917
1,10,1962-05-01,10740
1,10,1962-06-01,10512
1,10,1962-07-01,10286
1,10,1962-08-01,10109
1,10,1962-09-01,9881
1,10,1962-10-01,9655
1,10,1962-11-01,9426
1,10,1962-12-01,9249
1,10,1963-01-01,9022
1,10,1963-02-01,8794
1,10,1963-03-01,8569
1,10,1963-04-01,8342
1,10,1963-05-01,8115
1,10,1963-06-01,7887
1,10,1963-07-01,7661
1,10,1963-08-01,7433
1,10,1963-09-01,7204
1,10,1963-10-01,7081
1,10,1963-11-01,6853
1,10,1963-12-01,6626
1,10,1964-01-01,6399
1,10,1964-02-01,6171
1,10,1964-03-01,5945
1,10,1964-04-01,5718
1,10,1964-05-01,5491
1,10,1964-06-01,5262
1,10,1964-07-01,5036
1,10,1964-08-01,4808
1,10,1964-09-01,4580
1,10,1964-10-01,4444
1,10,1964-11-01,4216
1,10,1964-12-01,3989
1,10,1965-01-01,3761
1,10,1965-02-01,3533
1,10,1965-03-01,3309
1,10,1965-04-01,3081
1,10,1965-05-01,2854
1,10,1965-06-01,2626
1,10,1965-07-01,2400
1,10,1965-08-01,2172
1,10,1965-09-01,1944
1,10,1965-10-01,1718
1,10,1965-11-01,1489
1,10,1965-12-01,1262
1,10,1966-01-01,1035
1,10,1966-02-01,807
1,10,1966-03-01,582
1,10,1966-04-01,395
1,10,1966-05-01,168
1,10,1966-06-01,-60
1,10,1966-07-01,-287
1,10,1966-08-01,-470
1,10,1966-09-01,-699
1,10,1966-10-01,-927
1,10,1966-11-01,-1156
1,10,1966-12-01,-1385
1,10,1967-01-01,-1573
1,10,1967-02-01,-1803
1,10,1967-03-01,-2031
1,10,1967-04-01,-2262
1,10,1967-05-01,-2493
1,10,1967-06-01,-2726
1,10,1967-07-01,-2957
1,10,1967-08-01,-3189
1,10,1967-09-01,-3422
1,10,1967-10-01,-3655
1,10,1967-11-01,-3889
1,10,1967-12-01,-4123
1,10,1968-01-01,-4357
1,10,1968-02-01,-4593
1,10,1968-03-01,-4827
1,10,1968-04-01,-4980
1,10,1968-05-01,-5215
1,10,1968-06-01,-5451
1,10,1968-07-01,-5687
1,10,1968-08-01,-5924
1,10,1968-09-01,-6162
1,10,1968-10-01,-6361
1,10,1968-11-01,-6600
1,10,1968-12-01,-6838
1,10,1969-01-01,-7077
1,10,1969-02-01,-7317
1,10,1969-03-01,-7478
1,10,1969-04-01,-7718
1,10,1969-05-01,-7957
1,10,1969-06-01,-8198
1,10,1969-07-01,-8438
1,10,1969-08-01,-8681
1,10,1969-09-01,-8923
1,10,1969-10-01,-9164
1,10,1969-11-01,-9407
1,10,1969-12-01,-9650
1,10,1970-01-01,-9893
1,10,1970-02-01,-10098
1,10,1970-03-01,-10339
1,10,1970-04-01,-10584
1,10,1970-05-01,-10828
1,10,1970-06-01,-11075
1,10,1970-07-01,-11239
1,10,1970-08-01,-11486
1,10,1970-09-01,-11733
1,10,1970-10-01,-11979
1,10,1970-11-01,-12227
1,10,1970-12-01,-12392
1,10,1971-01-01,-12641
1,10,1971-02-01,-12890
1,10,1971-03-01,-13135
1,10,1971-04-01,-13386
1,10,1971-05-01,-13635
1,10,1971-06-01,-13885
1,10,1971-07-01,-14134
1,10,1971-08-01,-14386
1,10,1971-09-01,-14638
1,10,1971-10-01,-14889
1,10,1971-11-01,-15142
1,10,1971-12-01,-15394
1,10,1972-01-01,-15647
1,10,1972-02-01,-15901
1,10,1972-03-01,-16113
1,10,1972-04-01,-16368
1,10,1972-05-01,-16622
1,10,1972-06-01,-16877
1,10,1972-07-01,-17131
1,10,1972-08-01,-17389
1,10,1972-09-01,-17646
1,10,1972-10-01,-17902
1,10,1972-11-01,-18159
1,10,1972-12-01,-18416
1,10,1973-01-01,-18674
1,10,1973-02-01,-18896
1,10,1973-03-01,-19151
1,10,1973-04-01,-19411
1,10,1973-05-01,-19670
1,10,1973-06-01,-19932
1,10,1973-07-01,-20192
1,10,1973-08-01,-20453
1,10,1973-09-01,-20714
1,10,1973-10-01,-20975
1,10,1973-11-01,-21238
1,10,1973-12-01,-21501
1,10,1974-01-01,-21765
1,10,1974-02-01,-22029
1,10,1974-03-01,-22291
1,10,1974-04-01,-22556
1,10,1974-05-01,-22820
1,10,1974-06-01,-23086
1,10,1974-07-01,-23351
1,10,1974-08-01,-23617
1,10,1974-09-01,-23884
1,10,1974-10-01,-24152
1,10,1974-11-01,-24420
1,10,1974-12-01,-24688
1,10,1975-01-01,-24956
1,10,1975-02-01,-25225
1,10,1975-03-01,-25492
1,10,1975-04-01,-25720
1,10,1975-05-01,-25989
1,10,1975-06-01,-26260
1,10,1975-07-01,-26530
1,10,1975-08-01,-26803
1,10,1975-09-01,-27076
1,10,1975-10-01,-27348
1,10,1975-11-01,-27621
1,10,1975-12-01,-27894
1,10,1976-01-01,-28168
1,10,1976-02-01,-28403
1,10,1976-03-01,-28676
1,10,1976-04-01,-28953
1,10,1976-05-01,-29228
1,10,1976-06-01,-29504
1,10,1976-07-01,-29697
1,10,1976-08-01,-29974
1,10,1976-09-01,-30252
1,10,1976-10-01,-30529
1,10,1976-11-01,-30808
1,10,1976-12-01,-30884
1,10,1977-01-01,-31163
1,10,1977-02-01,-31443
1,10,1977-03-01,-31720
1,10,1977-04-01,-32001
1,10,1977-05-01,-32281
1,10,1977-06-01,-32563
1,10,1977-07-01,-32844
1,10,1977-08-01,-33127
1,10,1977-09-01,-33411
1,10,1977-10-01,-33693
1,10,1977-11-01,-33977
1,10,1977-12-01,-34261
1,10,1978-01-01,-34545
1,10,1978-02-01,-34830
1,10,1978-03-01,-35113
1,10,1978-04-01,-35399
1,10,1978-05-01,-35685
1,10,1978-06-01,-35973
1,10,1978-07-01,-36259
1,10,1978-08-01,-36506
1,10,1978-09-01,-36794
1,10,1978-10-01,-37082
1,10,1978-11-01,-37371
1,10,1978-12-01,-37660
1,10,1979-01-01,-37950
1,10,1979-02-01,-38242
1,10,1979-03-01,-38530
1,10,1979-04-01,-38822
1,10,1979-05-01,-39115
1,10,1979-06-01,-39367
1,10,1979-07-01,-39659
1,10,1979-08-01,-39953
1,10,1979-09-01,-40247
1,10,1979-10-01,-40541
1,10,1979-11-01,-40836
1,10,1979-12-01,-41131
1,10,1980-01-01,-41428
1,10,1980-02-01,-41725
1,10,1980-03-01,-42020
1,10,1980-04-01,-42318
1,10,1980-05-01,-42615
1,10,1980-06-01,-42914
1,10,1980-07-01,-43212
1,10,1980-08-01,-43512
1,10,1980-09-01,-43772
1,10,1980-10-01,-44071
1,10,1980-11-01,-44372
1,10,1980-12-01,-44673
1,10,1981-01-01,-44975
1,10,1981-02-01,-45278
1,10,1981-03-01,-45578
1,10,1981-04-01,-45881
1,10,1981-05-01,-46184
1,10,1981-06-01,-46490
1,10,1981-07-01,-46680
1,10,1981-08-01,-46986
1,10,1981-09-01,-47292
1,10,1981-10-01,-47598
1,10,1981-11-01,-47905
1,10,1981-12-01,-48170
1,10,1982-01-01,-48478
1,10,1982-02-01,-48788
1,10,1982-03-01,-49093
1,10,1982-04-01,-49404
1,10,1982-05-01,-49713
1,10,1982-06-01,-50024
1,10,1982-07-01,-50334
1,10,1982-08-01,-50645
1,10,1982-09-01,-50957
1,10,1982-10-01,-51190
1,10,1982-11-01,-51504
1,10,1982-12-01,-51817
1,10,1983-01-01,-52131
1,10,1983-02-01,-52446
1,10,1983-03-01,-52677
1,10,1983-04-01,-52993
1,10,1983-05-01,-53308
1,10,1983-06-01,-53625
1,10,1983-07-01,-53941
1,10,1983-08-01,-54258
1,10,1983-09-01,-54500
1,10,1983-10-01,-54818
1,10,1983-11-01,-55137
1,10,1983-12-01,-55456
1,10,1984-01-01,-55776
1,10,1984-02-01,-56097
1,10,1984-03-01,-56381
1,10,1984-04-01,-56702
1,10,1984-05-01,-57023
1,10,1984-06-01,-57347
1,10,1984-07-01,-57669
1,10,1984-08-01,-57954
1,10,1984-09-01,-58278
1,10,1984-10-01,-58602
1,10,1984-11-01,-58927
1,10,1984-12-01,-59252
1,10,1985-01-01,-59579
1,10,1985-02-01,-59838
1,10,1985-03-01,-60162
1,10,1985-04-01,-60491
1,10,1985-05-01,-60818
1,10,1985-06-01,-61147
1,10,1985-07-01,-60791
1,10,1985-08-01,-61120
1,10,1985-09-01,-61450
1,10,1985-10-01,-61779
1,10,1985-11-01,-62111
1,10,1985-12-01,-62362
1,10,1986-01-01,-62693
1,10,1986-02-01,-63025
1,10,1986-03-01,-63355
1,10,1986-04-01,-63689
1,10,1986-05-01,-64022
1,10,1986-06-01,-64199
1,10,1986-07-01,-64532
1,10,1986-08-01,-64868
1,10,1986-09-01,-65205
1,10,1986-10-01,-65540
1,10,1986-11-01,-65837
1,10,1986-12-01,-66174
1,10,1987-01-01,-66512
1,10,1987-02-01,-66851
1,10,1987-03-01,-67187
1,10,1987-04-01,-67320
1,10,1987-05-01,-67659
1,10,1987-06-01,-68000
1,10,1987-07-01,-68340
1,10,1987-08-01,-68681
1,10,1987-09-01,-68982
1,10,1987-10-01,-69323
1,10,1987-11-01,-69666
1,10,1987-12-01,-70009
1,10,1988-01-01,-70353
1,10,1988-02-01,-70616
1,10,1988-03-01,-70960
1,10,1988-04-01,-71306
1,10,1988-05-01,-71651
1,10,1988-06-01,-71998
1,10,1988-07-01,-72266
1,10,1988-08-01,-72614
1,10,1988-09-01,-72962
1,10,1988-10-01,-73310
1,10,1988-11-01,-73661
1,10,1988-12-01,-74011
1,10,1989-01-01,-74362
1,10,1989-02-01,-74714
1,10,1989-03-01,-75063
1,10,1989-04-01,-75416
1,10,1989-05-01,-75769
1,10,1989-06-01,-76123
1,10,1989-07-01,-76477
1,10,1989-08-01,-76833
1,10,1989-09-01,-77188
1,10,1989-10-01,-77543
1,10,1989-11-01,-77900
1,10,1989-12-01,-78257
1,10,1990-01-01,-78615
1,10,1990-02-01,-78974
1,10,1990-03-01,-79331
1,10,1990-04-01,-79691
1,10,1990-05-01,-80050
1,10,1990-06-01,-80412
1,10,1990-07-01,-80772
1,10,1990-08-01,-81134
1,10,1990-09-01,-81457
1,10,1990-10-01,-81820
1,10,1990-11-01,-82184
1,10,1990-12-01,-82548
1,10,1991-01-01,-82914
1,10,1991-02-01,-83240
1,10,1991-03-01,-83603
1,10,1991-04-01,-83971
1,10,1991-05-01,-84338
1,10,1991-06-01,-84706
1,10,1991-07-01,-85032
1,10,1991-08-01,-85402
1,10,1991-09-01,-85772
1,10,1991-10-01,-86141
1,10,1991-11-01,-86513
1,10,1991-12-01,-86844
1,10,1992-01-01,-87216
1,10,1992-02-01,-87589
1,10,1992-03-01,-87961
1,10,1992-04-01,-88336
1,10,1992-05-01,-88588
1,10,1992-06-01,-88964
1,10,1992-07-01,-89339
1,10,1992-08-01,-89716
1,10,1992-09-01,-90093
1,10,1992-10-01,-90430
1,10,1992-11-01,-90808
1,10,1992-12-01,-91186
1,10,1993-01-01,-91565
1,10,1993-02-01,-91946
1,10,1993-03-01,-92281
1,10,1993-04-01,-92663
1,10,1993-05-01,-93045
1,10,1993-06-01,-93428
1,10,1993-07-01,-93810
1,10,1993-08-01,-94074
1,10,1993-09-01,-94458
1,10,1993-10-01,-94842
1,10,1993-11-01,-95228
1,10,1993-12-01,-95614
1,10,1994-01-01,-95961
1,10,1994-02-01,-96349
1,10,1994-03-01,-96734
1,10,1994-04-01,-97123
1,10,1994-05-01,-97511
1,10,1994-06-01,-97862
1,10,1994-07-01,-98252
1,10,1994-08-01,-98644
1,10,1994-09-01,-99036
1,10,1994-10-01,-99429
1,10,1994-11-01,-99822
1,10,1994-12-01,-100176
1,10,1995-01-01,-100570
1,10,1995-02-01,-100965
1,10,1995-03-01,-101358
1,10,1995-04-01,-101755
1,10,1995-05-01,-102110
1,10,1995-06-01,-102508
1,10,1995-07-01,-102905
1,10,1995-08-01,-103305
1,10,1995-09-01,-103705
1,10,1995-10-01,-104064
1,10,1995-11-01,-104465
1,10,1995-12-01,-104866
1,10,1996-01-01,-105268
1,10,1996-02-01,-105671
1,10,1996-03-01,-106073
1,10,1996-04-01,-106479
1,10,1996-05-01,-106883
1,10,1996-06-01,-107289
1,10,1996-07-01,-107694
1,10,1996-08-01,-108101
1,10,1996-09-01,-108509
1,10,1996-10-01,-108917
1,10,1996-11-01,-109327
1,10,1996-12-01,-109736
1,10,1997-01-01,-110105
1,10,1997-02-01,-110516
1,10,1997-03-01,-110925
1,10,1997-04-01,-111338
1,10,1997-05-01,-111750
1,10,1997-06-01,-112164
1,10,1997-07-01,-112578
1,10,1997-08-01,-112993
1,10,1997-09-01,-113410
1,10,1997-10-01,-113825
1,10,1997-11-01,-114242
1,10,1997-12-01,-114660
1,10,1998-01-01,-115078
1,10,1998-02-01,-115498
1,10,1998-03-01,-115915
1,10,1998-04-01,-116295
1,10,1998-05-01,-116715
1,10,1998-06-01,-117137
1,10,1998-07-01,-117559
1,10,1998-08-01,-117983
1,10,1998-09-01,-118408
1,10,1998-10-01,-118832
1,10,1998-11-01,-119258
1,10,1998-12-01,-119684
1,10,1999-01-01,-120111
1,10,1999-02-01,-120499
1,10,1999-03-01,-120923
1,10,1999-04-01,-121353
1,10,1999-05-01,-121783
1,10,1999-06-01,-122214
1,10,1999-07-01,-122605
1,10,1999-08-01,-123037
1,10,1999-09-01,-123469
1,10,1999-10-01,-123902
1,10,1999-11-01,-124336
1,10,1999-12-01,-124770
1,10,2000-01-01,-125125
1,10,2000-02-01,-125561
1,11,1950-02-01,99808
1,11,1950-03-01,99616
1,11,1950-04-01,99425
1,11,1950-05-01,99233
1,11,1950-06-01,99041
1,11,1950-07-01,98850
1,11,1950-08-01,98658
1,11,1950-09-01,98466
1,11,1950-10-01,98275
1,11,1950-11-01,98083
1,11,1950-12-01,97891
1,11,1951-01-01,97700
1,11,1951-02-01,38519
1,11,1951-03-01,38294
1,11,1951-04-01,38067
1,11,1951-05-01,37840
1,11,1951-06-01,37611
1,11,1951-07-01,37385
1,11,1951-08-01,37157
1,11,1951-09-01,36929
1,11,1951-10-01,36703
1,11,1951-11-01,36475
1,11,1951-12-01,37982
1,11,1952-01-01,37754
1,11,1952-02-01,37526
1,11,1952-03-01,37300
1,11,1952-04-01,38709
1,11,1952-05-01,38482
1,11,1952-06-01,38254
1,11,1952-07-01,39764
1,11,1952-08-01,39536
1,11,1952-09-01,39307
1,11,1952-10-01,39081
1,11,1952-11-01,40539
1,11,1952-12-01,40312
1,11,1953-01-01,40085
1,11,1953-02-01,41593
1,11,1953-03-01,41368
1,11,1953-04-01,41141
1,11,1953-05-01,40914
1,11,1953-06-01,42357
1,11,1953-07-01,42131
1,11,1953-08-01,41902
1,11,1953-09-01,43360
1,11,1953-10-01,43134
1,11,1953-11-01,42906
1,11,1953-12-01,42679
1,11,1954-01-01,44119
1,11,1954-02-01,43890
1,11,1954-03-01,43666
1,11,1954-04-01,45173
1,11,1954-05-01,44946
1,11,1954-06-01,44717
1,11,1954-07-01,46177
1,11,1954-08-01,45949
1,11,1954-09-01,45721
1,11,1954-10-01,45495
1,11,1954-11-01,46972
1,11,1954-12-01,46745
1,11,1955-01-01,46517
1,11,1955-02-01,47912
1,11,1955-03-01,47687
1,11,1955-04-01,47460
1,11,1955-05-01,47233
1,11,1955-06-01,48741
1,11,1955-07-01,48515
1,11,1955-08-01,48287
1,11,1955-09-01,48167
1,11,1955-10-01,47940
1,11,1955-11-01,47712
1,11,1955-12-01,49221
1,11,1956-01-01,48994
1,11,1956-02-01,48766
1,11,1956-03-01,48540
1,11,1956-04-01,48367
1,11,1956-05-01,48140
1,11,1956-06-01,47912
1,11,1956-07-01,49421
1,11,1956-08-01,49193
