statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1950-02-01,99808.0,99808.0,99808.0,99808.0,99808.0,0.0,0.0,0.0,0.0,0.0
1950-03-01,92047.25,89576.75,84636.5,74757.75,55005.75,8846.063281671306,11673.634720314549,17352.572230075864,28738.871380936307,51532.64002794734
1950-04-01,83060.0,79337.5,71892.75,57005.0,29705.25,14465.0319276062,16407.84524752311,20642.84859824341,29793.992593586154,46717.48652895758
1950-05-01,82841.75,79093.0,71595.25,56602.5,29110.5,14478.235559510234,16436.423800003864,20705.54509263964,29927.281071512883,46981.46656218102
1950-06-01,82622.5,78861.25,71309.75,56252.25,28575.0,14491.837484137981,16442.342277891355,20748.397454181046,29993.423405528978,47193.51577635781
1950-07-01,82405.25,78676.75,71079.75,55880.5,28098.25,14505.05974651604,16375.392501657274,20715.76752741737,30091.08672569559,47360.9679966883
1950-08-01,82186.0,78430.75,70860.75,55677.75,27882.0,14519.10045422925,16404.97155082365,20664.266135449052,29982.53936738292,47317.876093501916
1950-09-01,82172.75,78421.0,70831.0,55571.0,27627.25,14179.517560551909,16056.552514991088,20347.97428083035,29767.217505168333,47316.89228577183
1950-10-01,81955.5,78177.5,70535.0,55184.25,27099.25,14192.927828088656,16085.693550481434,20411.374867950468,29885.12684011898,47532.968834799285
1950-11-01,81965.5,78383.75,71146.25,56165.0,27666.5,13817.313547382017,15408.543028138645,19254.57092701194,28515.667611566336,46967.73537582298
1950-12-01,81939.5,78294.5,71026.75,55984.75,27522.25,13507.920478988119,15200.823409714794,19093.479120282573,28430.256961847295,46941.8202130751
1951-01-01,81721.25,78049.0,70741.75,55613.0,27003.25,13522.125212036752,15232.1428783565,19142.892264493366,28536.54233901975,47164.014681923196
1951-02-01,81731.5,78261.25,71358.5,56221.0,27454.75,13155.8811310126,14579.086102473411,18112.384427972665,27733.70035414195,46821.03372328153
1951-03-01,81515.0,78020.0,71171.75,55899.5,27137.75,13169.039625829468,14608.062317318705,18059.20050602093,27805.793742791568,46939.005090826824
1951-04-01,81318.75,77789.25,70886.75,55666.25,26770.5,13147.271209266202,14618.676282413533,18112.773970782793,27800.52130656306,47095.03187173781
1951-05-01,81329.75,77771.5,70816.0,55264.25,26727.75,12787.113861879336,14322.343348768038,17933.255458319145,27939.71280423858,47099.298836783826
1951-06-01,81110.5,77752.0,71144.75,55821.75,26602.25,12802.165767296301,14034.993908085604,17360.703065160313,27328.35957236853,47166.609357150104
1951-07-01,80923.0,77582.25,70937.25,55561.25,26339.0,12768.312261219178,13963.924767652778,17344.6587239415,27368.05579959965,47303.011553177035
1951-08-01,80933.5,77336.0,70636.5,55173.75,25824.25,12415.471275791346,13996.62733184915,17416.036910464638,27497.398548165726,47546.78459072355
1951-09-01,80714.25,77549.0,70891.5,55578.25,26167.75,12430.347551456474,13412.907390520024,16988.489407046567,27115.292123019193,47496.27841122572
1951-10-01,80555.75,77334.75,70690.5,55177.0,26019.25,12351.86572614302,13407.2376069793,16978.41511056514,27255.154387136878,47638.53569240627
1951-11-01,80336.5,77088.25,70397.5,54892.5,25487.75,12366.905797328609,13440.964111625326,17044.095174967,27326.59473236039,47898.55126114637
1951-12-01,80345.5,77299.5,70533.75,54977.0,25658.75,12026.28040307282,12901.309455503602,16775.192604458127,27200.980509288016,47990.073837374606
1952-01-01,80127.25,77054.5,70234.75,54723.0,25390.5,12041.883279481937,12935.342039028836,16846.891906718778,27267.64908580618,48206.57825442499
1952-02-01,79945.25,76889.5,69941.25,54416.75,25175.0,11999.979982622193,12871.819801411144,16913.757267877136,27361.617293512943,48423.97665757464
