statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1950-02-01,98813.1,98516.98,97924.74,96740.46,94372.54,4054.9992840785485,5221.491140879751,7570.793280112996,12290.099803998537,21746.765426112623
1950-03-01,97001.4,96308.6,94926.3,92258.4,87801.72,7195.42281663865,8802.382094104536,12115.502220338225,18700.833737825596,30281.18261314462
1950-04-01,94982.04,93993.92,92013.62,88066.8,80718.44,9237.99894393603,11070.038526268154,14868.456229500476,22650.862265877546,37213.63970931484
1950-05-01,93837.12,92670.24,90306.92,85552.4,77493.08,10789.549782818485,12726.417740772658,16744.134085678594,25056.262625848856,39276.24575082481
1950-06-01,92295.94,91046.24,88511.6,83367.68,74557.68,12121.158814087312,13934.650044389053,17816.99400996196,26112.172601626677,40535.84223740158
1950-07-01,91042.7,89618.4,86906.84,81411.04,71789.7,13640.670088349165,15653.81210140592,19394.839159289095,27567.276723636503,42234.57340647032
1950-08-01,89197.34,87478.2,84028.92,76926.0,65009.12,14457.307447693807,16571.429459359588,20924.034189634167,30113.5069681093,45403.455446420616
1950-09-01,87199.72,85343.6,81538.16,73859.72,61269.44,16346.001648084577,18404.31197922301,22721.362031033837,31518.38337952592,46121.73290067961
1950-10-01,83049.92,80930.16,76609.88,68214.12,55224.32,21132.19499772896,23092.012894611376,27218.387188225595,34730.78876898591,47155.33742743775
1950-11-01,78288.32,75841.46,70791.84,61033.36,46851.26,22795.639629095553,24649.311049038366,28575.76563893658,35627.81317486182,46560.17917675829
1950-12-01,77324.32,74801.78,69686.9,59525.88,45126.36,22902.87447465127,24777.231796171753,28685.235748178387,35757.261333996976,46219.18942663869
1951-01-01,76099.4,73506.94,68060.92,57124.46,42140.12,23190.27165931122,25106.720939685958,29069.563912007452,36222.74339795203,46076.874244998304
1951-02-01,73917.88,71167.62,65422.62,53767.34,38537.6,23549.749790810856,25427.36324729318,29297.176928070967,36233.41712276451,44968.79473862846
1951-03-01,72184.26,69490.52,63725.26,52073.62,36788.76,24771.35288900121,26604.3642040864,30143.409448433635,36252.398678072015,44251.026567388864
1951-04-01,70705.18,67934.24,62091.18,50272.3,34966.66,25371.50163735457,27116.00432424831,30557.209570280476,36287.15856419824,43521.85160405409
1951-05-01,67329.04,64516.28,58333.64,45696.8,29788.4,24433.501052281412,26026.994695884343,29192.536707500694,34151.012002216135,40163.6722897187
1951-06-01,65213.14,62137.8,55490.92,41939.84,25834.24,25144.17866738842,26725.32546068601,29833.783965627877,34328.77585419187,38737.451355672085
1951-07-01,65189.72,62323.0,55771.34,42328.9,26215.92,25150.60464241732,26774.605165251305,29849.99144539583,34321.65310183729,38600.9362040638
1951-08-01,64945.02,62159.6,55713.66,42311.06,26228.04,24871.54507110649,26485.114960856714,29538.943859092396,33932.165156688956,38119.620661088775
1951-09-01,62213.7,59371.64,52910.72,39234.7,23235.34,25703.556656340657,27248.20296621712,29858.465867502575,33146.519755288864,35818.269680179146
1951-10-01,62166.58,59526.68,53223.48,39617.34,23557.54,25650.95518059986,27200.148187951672,29810.568959402048,33112.856146641345,35832.30002825236
1951-11-01,62166.82,59572.72,53238.14,39712.16,23684.28,25690.184032427635,27285.021948613612,29907.161485551536,33293.28511776904,35917.23849438953
1951-12-01,62190.06,59743.04,53484.56,40077.06,24004.36,25685.990156161955,27278.74440371597,29970.33642512379,33304.581181726404,35935.970815883076
1952-01-01,61611.32,59278.34,53213.38,39933.18,23993.52,25161.442054517804,26748.481234481864,29187.43991464514,32303.15875923099,34970.9397918924
1952-02-01,58803.66,56622.14,50614.76,37252.6,21372.44,26706.3264282118,28144.055501687046,30144.660641754304,31956.590168922743,33144.252961469465
