date,seed,terrain_type,name,company_value,money
1960-02-01,0,1,trAIns AI,0,286141
1960-02-01,0,1,Admiral AI,0,211518
1960-03-01,0,1,trAIns AI,0,285616
1960-03-01,0,1,Admiral AI,0,203309
1960-04-01,0,1,trAIns AI,1,285091
1960-04-01,0,1,Admiral AI,1,202696
1960-05-01,0,1,trAIns AI,1,284566
1960-05-01,0,1,Admiral AI,1,206859
1960-06-01,0,1,trAIns AI,1,284041
1960-06-01,0,1,Admiral AI,1,206245
1960-07-01,0,1,trAIns AI,1,283516
1960-07-01,0,1,Admiral AI,1,210454
1960-08-01,0,1,trAIns AI,1,190959
1960-08-01,0,1,Admiral AI,1,209841
1960-09-01,0,1,trAIns AI,1,6110
1960-09-01,0,1,Admiral AI,1,214003
1960-10-01,0,1,trAIns AI,1,4951
1960-10-01,0,1,Admiral AI,1,213394
1960-11-01,0,1,trAIns AI,1,3769
1960-11-01,0,1,Admiral AI,1,217600
1960-12-01,0,1,trAIns AI,1,2609
1960-12-01,0,1,Admiral AI,1,216991
1961-01-01,0,1,trAIns AI,1,-259
1961-01-01,0,1,Admiral AI,6057,221196
1961-02-01,0,1,trAIns AI,1,8609
1961-02-01,0,1,Admiral AI,6057,220582
1961-03-01,0,1,trAIns AI,1,5614
1961-03-01,0,1,Admiral AI,6057,224763
1961-04-01,0,1,trAIns AI,8585,4549
1961-04-01,0,1,Admiral AI,7606,224150
1961-05-01,0,1,trAIns AI,8585,1528
1961-05-01,0,1,Admiral AI,7606,228358
1961-06-01,0,1,trAIns AI,8585,8450
1961-06-01,0,1,Admiral AI,7606,227743
1961-07-01,0,1,trAIns AI,73811,7524
1961-07-01,0,1,Admiral AI,14021,231932
1961-08-01,0,1,trAIns AI,73811,44417
1961-08-01,0,1,Admiral AI,14021,231319
1961-09-01,0,1,trAIns AI,73811,3534
1961-09-01,0,1,Admiral AI,14021,235464
1961-10-01,0,1,trAIns AI,138974,40502
1961-10-01,0,1,Admiral AI,15505,234855
1961-11-01,0,1,trAIns AI,138974,9670
1961-11-01,0,1,Admiral AI,15505,239051
1961-12-01,0,1,trAIns AI,138974,46974
1961-12-01,0,1,Admiral AI,15505,238442
1962-01-01,0,1,trAIns AI,156883,280629
1962-01-01,0,1,Admiral AI,21994,242615
1962-02-01,0,1,trAIns AI,156883,317650
1962-02-01,0,1,Admiral AI,21994,242001
1962-03-01,0,1,trAIns AI,156883,354633
1962-03-01,0,1,Admiral AI,21994,246154
1962-04-01,0,1,trAIns AI,222339,353383
1962-04-01,0,1,Admiral AI,23698,245541
1962-05-01,0,1,trAIns AI,222339,390300
1962-05-01,0,1,Admiral AI,23698,249721
1962-06-01,0,1,trAIns AI,222339,389051
1962-06-01,0,1,Admiral AI,23698,249107
1962-07-01,0,1,trAIns AI,288094,425774
1962-07-01,0,1,Admiral AI,30352,253288
1962-08-01,0,1,trAIns AI,288094,424525
1962-08-01,0,1,Admiral AI,30352,252675
1962-09-01,0,1,trAIns AI,288094,461206
1962-09-01,0,1,Admiral AI,30352,252061
1962-10-01,0,1,trAIns AI,315852,459980
1962-10-01,0,1,Admiral AI,32224,256204
1962-11-01,0,1,trAIns AI,315852,496636
1962-11-01,0,1,Admiral AI,32224,255590
1962-12-01,0,1,trAIns AI,315852,495410
1962-12-01,0,1,Admiral AI,32224,259765
1963-01-01,0,1,trAIns AI,382331,532063
1963-01-01,0,1,Admiral AI,34072,259152
1963-02-01,0,1,trAIns AI,382331,568674
1963-02-01,0,1,Admiral AI,34072,263328
1963-03-01,0,1,trAIns AI,382331,567494
1963-03-01,0,1,Admiral AI,34072,262728
1963-04-01,0,1,trAIns AI,448828,604086
1963-04-01,0,1,Admiral AI,40787,266842
1963-05-01,0,1,trAIns AI,448828,602861
1963-05-01,0,1,Admiral AI,40787,266234
1963-06-01,0,1,trAIns AI,448828,601611
1963-06-01,0,1,Admiral AI,40787,191605
1963-07-01,0,1,trAIns AI,477159,638015
1963-07-01,0,1,Admiral AI,17277,189343
1963-08-01,0,1,trAIns AI,477159,636765
1963-08-01,0,1,Admiral AI,17277,217198
1963-09-01,0,1,trAIns AI,477159,673250
1963-09-01,0,1,Admiral AI,17277,216370
1963-10-01,0,1,trAIns AI,506109,672025
1963-10-01,0,1,Admiral AI,23926,209700
1963-11-01,0,1,trAIns AI,506109,708467
1963-11-01,0,1,Admiral AI,23926,208846
1963-12-01,0,1,trAIns AI,506109,707242
1963-12-01,0,1,Admiral AI,23926,222494
1964-01-01,0,1,trAIns AI,571978,743226
