date,seed,terrain_type,name,company_value,money
1960-02-01,0,1,trAIns AI,0,281440
1960-02-01,0,1,Admiral AI,0,214618
1960-03-01,0,1,trAIns AI,0,280665
1960-03-01,0,1,Admiral AI,0,203664
1960-04-01,0,1,trAIns AI,1,279890
1960-04-01,0,1,Admiral AI,1,202732
1960-05-01,0,1,trAIns AI,1,279115
1960-05-01,0,1,Admiral AI,1,206727
1960-06-01,0,1,trAIns AI,1,278340
1960-06-01,0,1,Admiral AI,1,205795
1960-07-01,0,1,trAIns AI,1,277565
1960-07-01,0,1,Admiral AI,1,209824
1960-08-01,0,1,trAIns AI,1,162348
1960-08-01,0,1,Admiral AI,1,208892
1960-09-01,0,1,trAIns AI,1,1241
1960-09-01,0,1,Admiral AI,1,212926
1960-10-01,0,1,trAIns AI,1,-60
1960-10-01,0,1,Admiral AI,1,212001
1960-11-01,0,1,trAIns AI,1,8595
1960-11-01,0,1,Admiral AI,1,216019
1960-12-01,0,1,trAIns AI,1,7269
1960-12-01,0,1,Admiral AI,1,215094
1961-01-01,0,1,trAIns AI,1,4232
1961-01-01,0,1,Admiral AI,1,219131
1961-02-01,0,1,trAIns AI,1,2986
1961-02-01,0,1,Admiral AI,1,218199
1961-03-01,0,1,trAIns AI,1,311
1961-03-01,0,1,Admiral AI,1,222241
1961-04-01,0,1,trAIns AI,1,-835
1961-04-01,0,1,Admiral AI,1,221309
1961-05-01,0,1,trAIns AI,1,6322
1961-05-01,0,1,Admiral AI,1,225326
1961-06-01,0,1,trAIns AI,1,5251
1961-06-01,0,1,Admiral AI,1,224394
1961-07-01,0,1,trAIns AI,28271,2593
1961-07-01,0,1,Admiral AI,1005,228413
1961-08-01,0,1,trAIns AI,28271,1622
1961-08-01,0,1,Admiral AI,1005,227481
1961-09-01,0,1,trAIns AI,28271,8930
1961-09-01,0,1,Admiral AI,1005,231488
1961-10-01,0,1,trAIns AI,57118,8055
1961-10-01,0,1,Admiral AI,1234,230562
1961-11-01,0,1,trAIns AI,57118,5441
1961-11-01,0,1,Admiral AI,1234,234580
1961-12-01,0,1,trAIns AI,57118,4665
1961-12-01,0,1,Admiral AI,1234,233654
1962-01-01,0,1,trAIns AI,125379,42190
1962-01-01,0,1,Admiral AI,6683,237672
1962-02-01,0,1,trAIns AI,125379,260669
1962-02-01,0,1,Admiral AI,6683,236740
1962-03-01,0,1,trAIns AI,125379,297833
1962-03-01,0,1,Admiral AI,6683,240769
1962-04-01,0,1,trAIns AI,138757,296438
1962-04-01,0,1,Admiral AI,7318,239838
1962-05-01,0,1,trAIns AI,138757,333396
1962-05-01,0,1,Admiral AI,7318,243833
1962-06-01,0,1,trAIns AI,138757,282142
1962-06-01,0,1,Admiral AI,7318,242901
1962-07-01,0,1,trAIns AI,152018,39950
1962-07-01,0,1,Admiral AI,12786,246923
1962-08-01,0,1,trAIns AI,152018,8258
1962-08-01,0,1,Admiral AI,12786,245991
1962-09-01,0,1,trAIns AI,152018,44832
1962-09-01,0,1,Admiral AI,12786,250006
1962-10-01,0,1,trAIns AI,173078,3281
1962-10-01,0,1,Admiral AI,13507,249081
1962-11-01,0,1,trAIns AI,173078,38574
1962-11-01,0,1,Admiral AI,13507,253104
1962-12-01,0,1,trAIns AI,173078,35730
1962-12-01,0,1,Admiral AI,13507,252179
1963-01-01,0,1,trAIns AI,289799,42678
1963-01-01,0,1,Admiral AI,19117,256203
1963-02-01,0,1,trAIns AI,289799,311227
1963-02-01,0,1,Admiral AI,19117,255271
1963-03-01,0,1,trAIns AI,289799,347746
1963-03-01,0,1,Admiral AI,19117,259320
1963-04-01,0,1,trAIns AI,355322,374213
1963-04-01,0,1,Admiral AI,19967,258388
1963-05-01,0,1,trAIns AI,355322,410551
1963-05-01,0,1,Admiral AI,19967,262407
1963-06-01,0,1,trAIns AI,355322,437106
1963-06-01,0,1,Admiral AI,19967,261475
1963-07-01,0,1,trAIns AI,443793,473436
1963-07-01,0,1,Admiral AI,25732,265455
1963-08-01,0,1,trAIns AI,443793,361242
1963-08-01,0,1,Admiral AI,25732,157033
1963-09-01,0,1,trAIns AI,443793,42353
1963-09-01,0,1,Admiral AI,25732,145848
1963-10-01,0,1,trAIns AI,408337,8908
1963-10-01,0,1,Admiral AI,1,149496
1963-11-01,0,1,trAIns AI,408337,45161
1963-11-01,0,1,Admiral AI,1,148238
1963-12-01,0,1,trAIns AI,408337,290
1963-12-01,0,1,Admiral AI,1,151892
1964-01-01,0,1,trAIns AI,518960,74487
1964-01-01,0,1,Admiral AI,1,157932
1964-02-01,0,1,trAIns AI,518960,311015
1964-02-01,0,1,Admiral AI,1,161586
1964-03-01,0,1,trAIns AI,518960,316081
1964-03-01,0,1,Admiral AI,1,167735
1964-04-01,0,1,trAIns AI,614388,390203
1964-04-01,0,1,Admiral AI,1,166477
1964-05-01,0,1,trAIns AI,614388,445370
1964-05-01,0,1,Admiral AI,1,170132
1964-06-01,0,1,trAIns AI,614388,480036
1964-06-01,0,1,Admiral AI,1,176227
1964-07-01,0,1,trAIns AI,747943,544685
1964-07-01,0,1,Admiral AI,1,110865
1964-08-01,0,1,trAIns AI,747943,571050
1964-08-01,0,1,Admiral AI,1,109366
1964-09-01,0,1,trAIns AI,747943,634325
1964-09-01,0,1,Admiral AI,1,120119
