Flat,Flat,Flat,Flat,Flat,Flat,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous
Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI
q1,q2,q3,q1,q2,q3,q1,q2,q3,q1,q2,q3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
